channelID,channel_name,channel_country,ad_percentage
UCaiVt4r6YLPzJVgr7pOmD6w,Aba N Preach,CA,7.57%
UCtPWcMd_szAQJNDSb2RFdrA,Tweek,RU,7.57%
UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions,US,7.50%
UC0woBco6Dgcxt0h8SwyyOmw,Megaprojects,CZ,7.48%
UChI0q9a-ZcbZh7dAu_-J-hg,Upper Echelon,US,7.47%
UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,US,7.46%
UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,US,7.45%
UC9rIGFYRmb4-Ej_lmeGBFLg,Stackz / Gustavo Pinheiro,BR,7.42%
UCPDGn0QKdACdmYa27Vx8oig,PADLO TOXIT,RU,7.39%
UC8qjk39Hk7i8i7VUNnWVVNQ,EVG,GE,7.39%
UCr4kgAUTFkGIwlWSodg43QA,Michael Knowles,US,7.34%
UCYzxrBQ4YacNcIhCNeaAvFA,Лихой ТопорЪ,BY,7.33%
UCD8IMRw6r8k_mNOCh3i3epw,No Presh Network,US,7.32%
UC4ii4_aeS8iOFzsHuhJTq2w,Poisson Fécond,FR,7.29%
UCxDFRhF3Y1A_Gd0-cF8gbqQ,Hoje no Mundo Militar,BR,7.28%
UCuWhsa1VzH2CB20aBmCmxQw,Иван Зенкевич PRO автомобили,GE,7.24%
UCw_lQ_KhJBX4hAQ6rqbg0Bw,Kentucky Ballistics,US,7.22%
UCYY5GWf7MHFJ6DZeHreoXgw,Brain Blaze,CZ,7.19%
UCCnvz2rVBkQajGUiekDQ3Hg,Yuri The Professional,RU,7.17%
UCBvc7pmUp9wiZIFOXEp1sCg,DemolitionRanch,US,7.14%
UC-ZvduAy0lfI7_UVSecm2ug,Naritsa,RU,7.11%
UCmEClzCBDx-vrt0GuSKBd9g,Jovem Nerd,BR,7.10%
UCPIKvg4P2pRDdmyN1gi9bnA,MovieMaker,,7.10%
UCJm2TgUqtK1_NLBrjNQ1P-w,Second Thought,US,7.07%
UCF3HFytvG3v06FcmHzU221w,NN,RU,7.07%
UC7dHBh9QmYF1L0TOeGIzZgw,Lazy Masquerade,GB,7.06%
UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,US,6.98%
UCFBH3Bdhgh3_cCToEQsUp6Q,Gimper,PL,6.96%
UCDRIjKy6eZOvKtOELtTdeUA,Breaking Points,US,6.95%
UCVeW9qkBjo3zosnqUbG7CFw,John Hammond,US,6.95%
UCbK5Us4E-HsXw6fQ1PYUuog,MW Informática,BR,6.90%
UCGIj-5Yy5hhs8tAbE-hbCIQ,BRIGMAN,KZ,6.89%
UCY0xFFEc7viwKoPAAdZ6U3Q,SonnyK,,6.85%
UCgFP46yVT-GG4o1TgXn-04Q,China Uncensored,US,6.84%
UC7zsxKqd5MicTf4VhS9Y74g,Kurtis Conner,CA,6.82%
UCgKJPhVzv8w0VaZFnS_VmaA,Philion,US,6.81%
UCCPpKYz2F-73OuaMmLUvg1g,АЙДЕН,RU,6.81%
UC64UiPJwM_e9AqAd7RiD7JA,Today I Found Out,US,6.78%
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,US,6.77%
UC7yRILFFJ2QZCykymr8LPwA,New Rockstars,US,6.77%
UCkmMACUKpQeIxN9D9ARli1Q,Shadiversity,US,6.74%
UCz_3xlMTVUYYTQqCfh9lD7w,TLDR Daily,GB,6.73%
UCtVmeje9q2T3Adjjw20WzJg,HANSON,,6.73%
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,JP,6.70%
UCXin0u5SrVEBjn5LhOoG97A,Enis Kirazoglu,TR,6.66%
UCpr-NNORb2UQYDD3k-w-OFg,Denys Davydov,CH,6.62%
UCP46_MXP_WG_auH88FnfS1A,Nota Bene,FR,6.62%
UCuQsXgtPrppIkSE7GWjp7HA,JOHAN,GE,6.60%
UCmFeOdJI3IXgTBDzqBLD8qg,Moon,,6.59%
UC42SIHeNRlQLtGKS7YSL1tw,ARTEM WOLF,TH,6.58%
UCWizIdwZdmr43zfxlCktmNw,Alec Steele,GB,6.56%
UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,US,6.54%
UCCOto-kMfW8FA-nRH54F9Dg,Amy Kay ASMR,US,6.54%
UCxkM67T_Iele-mRVUiBkRqg,Jet Lag: The Game,US,6.52%
UCoNfsDH8sZe13u7rSxaEBkw,FrivolousFox ASMR,US,6.50%
UCHH3KHUqDJX_CoRbqLy1zNg,Александр Пушной,RU,6.48%
UCLsiaNUb42gRAP7ewbJ0ecQ,The Command Zone,US,6.42%
UCsK1oV0PGkcZ1UhFtajx0dg,Redroom,RU,6.42%
UCL1rJ0ROIw9V1qFeIN0ZTZQ,Екатерина Шульман,DE,6.41%
